label,value
견인지역,149.54337
황색실선구간,34.855587
횡단보도,22.15909
금지구역,15.417722
소화전,12.222222
진입로,10.909091
안전구역,10.666667
중앙선,10.530612
어린이보호구역,8.186047
번호판,8.0
보행자,7.753846
우회전,7.542857
정류장,7.5
과태료,7.2765956
출입구,6.109091
교차로,6.0
단속구역,5.25
운영시간,5.142857
장애인,4.9411764
위반차량,4.8
롯데캐슬 스타,4.0
위반 행위,4.0
사고위험,3.652174
차량번호 39어 4892임,3.4666667
황색 복선,3.3333333
유모차,3.1111112
차량 신고,2.7096775
안전지대,2.6666667
경기부천,2.64
노약자,2.6086957
장애인 전용구역,2.6086957
위반단속,2.5714285
비상등,2.5263157
전기차,2.5263157
효행로,2.5263157
사유지,2.4705882
정류소,2.4
택시 승강장,2.4
운전자,2.1818182
인도 불법,2.1818182
기타 불법 주정차 신고,2.0742886
골목길,2.0
정차금지,1.6390027
불법 주차 주,0.626878
횡단보도 불법 주정차,0.4488
인도위불법주정차,0.4295214
주차구역외주차,0.22786127
인도주행,0.144
소화전 불법 주차,0.13490196
안전구역 불법주정차,0.12078431
인도 위 주정차,0.1
서울강,0.074117646
버스정류소 불법 주차,0.06666667
주황두줄실선,0.06666667
어린이보호구역 불법 주정차,0.064
불법주정차단속부탁,0.0576
주차장,0.054545455
무등도서관사거리 농협 앞 인도위불법주정차,0.05142857
주차구역,0.049411766
역주행,0.047058824
주정차금지구역,0.046153847
소방시설 주정차,0.04
황색 복선 주정차,0.032
차량번호 56주 9417임,0.027272727
불법 주차 주 정차금지,0.026666667
횡단보도주정차위반,0.025263159
소화전 앞 불법 주정차,0.024
승강장 주 정차 위반,0.024
